#{"t_start": 1783876858.8035107, "env_id": "None"}
r,l,t
-240.431527,124,1676.407253
-212.286073,317,1682.326063
-199.920279,5,1682.413896
92.580535,126,1684.783542
95.621099,110,1686.841203
97.443118,109,1689.119556
-91.77655,221,1693.516766
-74.565378,259,1698.621593
-48.998709,202,1703.069009
-127.867551,225,1707.356715
-269.668515,215,1711.717196
-42.797893,228,1717.081371
-173.166521,253,1722.014487
-190.801497,154,1725.212531
-135.166212,305,1732.066861
-120.193915,251,1737.077275
-77.174028,215,1741.565138
-254.191155,150,1744.732644
96.635783,116,1746.932811
-57.694133,200,1750.909254
-141.744044,243,1755.681016
-36.463874,199,1760.543469
-55.06125,187,1764.801867
-47.011993,171,1768.884475
-20.682309,183,1773.408326
-3.699648,211,1778.605429
-52.077951,218,1783.095873
99.738743,103,1785.38561
-164.428423,277,1791.44936
-113.635456,264,1797.708812
-33.876753,197,1801.735597
-30.328571,223,1806.440617
103.859972,108,1808.745729
105.75505,102,1811.352358
-224.829257,120,1814.229546
-48.124766,203,1819.431339
-122.302797,235,1825.378856
-91.738702,202,1829.080834
96.20844,123,1831.33051
-135.324558,266,1836.803423
-47.169097,203,1841.116309
-45.810188,230,1845.800043
-32.723904,170,1849.191698
-86.916975,232,1854.397604
-76.312538,199,1858.346961
-55.905468,173,1861.712775
-78.164035,238,1866.803227
10.665071,160,1873.598961
-47.169596,207,1877.965598
-88.866191,253,1883.592313
-85.581488,223,1888.698954
-141.525752,247,1893.859432
-154.373162,232,1898.820578
-131.190553,279,1904.96611
-219.034794,320,1912.235722
-174.393173,271,1918.501223
-25.253418,209,1923.009899
-381.216814,242,1928.176313
-91.94148,216,1933.038967
86.253998,143,1936.384466
-21.905185,186,1941.030023
-105.591668,275,1949.661222
86.346415,142,1954.389207
-218.628785,106,1957.615935
-41.34628,206,1963.957076
-70.331192,246,1970.093096
84.924056,141,1973.917577
-102.202124,225,1979.739857
63.042846,157,1983.673025
-77.035214,220,1988.694489
-129.194187,210,1993.824004
-97.726518,203,1997.717247
-68.285257,223,2002.178478
-69.745166,220,2006.266379
-216.238201,311,2012.058967
-110.675468,237,2017.2463
94.98045,104,2019.380326
89.695795,128,2022.118745
-125.562444,296,2028.02626
76.586949,151,2031.507733
-35.826773,231,2036.432026
-157.723245,269,2041.688396
81.922397,145,2044.412646
-293.510549,176,2048.310284
-27.3319,205,2053.609592
-125.168914,288,2059.98385
-61.701733,215,2064.7867
-173.347311,289,2070.470328
-186.983272,287,2075.866356
-49.84431,181,2079.197972
-150.116076,247,2084.275862
