#{"t_start": 1783930416.1586635, "env_id": "None"}
r,l,t
-396.535113,297,911.257634
58.066734,104,912.451377
-253.631207,233,915.104452
-351.469257,277,918.261786
64.206633,119,919.658331
0.371679,154,921.41663
-535.350696,320,925.081754
-224.294062,225,927.859809
-285.741676,250,930.720068
-282.715915,230,933.372072
-326.298821,255,936.310886
21.926677,121,937.683529
81.175058,104,938.892279
12.859327,143,940.842076
-500.539021,320,944.602629
-276.942679,223,947.139236
-515.463784,320,950.998058
-320.880566,284,954.484458
-461.316209,320,958.78155
-224.885634,225,961.550729
-41.167117,146,963.226665
-284.639245,221,965.749329
64.808424,116,969.619996
-346.518358,237,972.329464
-220.698364,233,974.968046
-352.615879,305,978.430961
-270.882899,227,981.029719
-183.285052,202,983.336425
-283.888471,222,986.066882
-33.612472,152,987.948651
82.444191,102,989.103334
-361.912278,285,992.424912
-502.569553,320,996.111378
-186.201062,201,998.401535
-305.003142,265,1001.421858
-397.347493,306,1004.910759
-1098.542583,75,1005.776008
-8.03189,149,1007.462636
-309.890286,284,1010.789328
-216.226879,210,1013.169981
-186.210744,208,1015.553923
-324.415918,260,1018.739378
-362.541415,310,1022.278513
-246.147951,247,1025.097711
-296.612209,268,1028.157362
69.619735,106,1029.354481
-373.721613,317,1032.976158
-254.093198,214,1035.404901
-227.358603,217,1037.868947
-298.350689,241,1040.623654
-334.57641,287,1043.926349
-308.484083,285,1047.497144
-542.543811,320,1051.157946
-307.366923,236,1053.866146
55.384992,124,1055.293544
-548.664697,320,1058.959774
-1000.374622,10,1059.072828
-176.266778,205,1061.415322
4.811018,151,1063.143738
60.353049,120,1064.501028
72.999927,102,1065.679498
-233.776514,225,1068.233305
-291.261168,250,1071.095752
-446.643307,320,1074.750921
-519.65158,320,1078.620833
-272.634574,240,1081.365983
-549.939424,320,1086.665702
-384.647457,282,1089.866116
-355.060378,285,1093.125697
31.387986,130,1094.595188
-13.045488,145,1096.256163
64.986975,105,1097.442072
-296.649426,264,1100.44327
-217.969662,264,1103.443184
30.537583,116,1104.794347
-285.900375,252,1107.878056
-315.324426,265,1110.905341
-148.408374,189,1113.056828
