#{"t_start": 1784298491.3952901, "env_id": "None"}
r,l,t
-145.333513,281,3103.273526
-38.475215,222,3107.982179
58.749664,138,3110.860606
63.032112,122,3113.402088
-140.138216,286,3119.825114
55.985218,151,3122.975765
-150.338718,206,3127.595438
-77.87499,223,3132.517715
2.494882,156,3135.773991
-156.209274,246,3140.920793
-87.030172,288,3146.993678
63.161503,135,3149.776565
-85.755383,223,3154.547519
-208.878927,270,3161.764498
-141.904155,246,3167.189469
-15.199106,177,3170.923571
65.694304,121,3173.44503
76.834822,110,3175.750404
74.06806,117,3178.132042
-54.003511,201,3182.471847
-133.990662,229,3187.979584
-78.456321,209,3192.816246
-95.797734,257,3198.269537
-13.579824,210,3202.71529
59.846747,138,3205.655446
-220.199102,273,3211.351536
-119.248765,246,3216.680377
-139.698329,224,3222.207081
-118.985339,186,3226.139873
11.391413,170,3229.697161
-91.830733,224,3238.353948
-148.536289,313,3245.086008
-60.326464,177,3249.46235
-181.213519,236,3255.259473
-117.729007,219,3260.320661
-134.191452,191,3264.548282
-28.977219,204,3268.812687
-94.529113,265,3274.427762
-147.72584,211,3279.357239
-213.528386,320,3286.084925
-111.082862,262,3291.589667
-144.647441,236,3296.548366
-99.319004,194,3300.678046
73.209403,119,3303.108909
-114.458398,189,3307.343674
-29.498637,210,3311.932658
-161.05196,210,3316.411845
-135.021457,185,3320.347312
-128.625196,254,3325.851906
-142.352827,212,3330.61217
-27.028728,196,3334.699974
-161.546705,217,3339.686901
-87.014666,252,3344.99714
-142.204298,239,3350.039455
-108.462943,288,3356.113395
-120.540874,285,3362.059132
-77.005722,234,3367.136229
-140.243552,217,3371.858738
-185.261417,285,3377.826469
-99.179414,270,3383.418556
-130.986028,310,3389.894448
-1.011165,183,3393.753081
-137.36089,252,3399.874053
-100.884828,221,3404.549623
-149.499033,188,3408.804884
-69.881636,229,3413.614205
-18.081046,186,3417.629736
-218.114769,269,3423.210724
-171.139399,261,3429.21542
-58.867471,242,3434.353972
68.554952,121,3436.848625
