#{"t_start": 1784427799.554893, "env_id": "None"}
r,l,t
-76.00827,236,2232.274989
-22.676296,200,2236.564683
-88.155628,255,2242.033776
-33.624482,217,2247.35017
53.425699,150,2250.797968
-62.621257,241,2256.954291
77.32658,113,2259.518324
-63.298854,229,2264.589601
63.574459,129,2267.457307
-223.92703,270,2273.623883
-129.203315,243,2279.36057
-171.862594,226,2284.2126
-128.602219,186,2288.403441
50.866785,157,2291.868469
-90.980992,225,2296.953771
-126.759684,310,2303.870737
-140.09739,174,2308.10195
-207.498374,255,2313.809837
-25.268272,179,2322.488389
-78.146798,189,2327.075601
-90.455647,202,2331.717951
-77.433356,244,2337.065224
-36.98335,220,2342.403237
-242.218974,301,2349.852949
-173.345785,287,2356.657625
-190.914267,236,2362.638347
-67.569969,191,2367.697699
71.061386,118,2370.561904
-144.303055,189,2375.007734
-6.836869,213,2380.229808
-198.832685,215,2385.61448
-125.809105,187,2390.036931
-145.398201,254,2396.425407
-119.892152,209,2401.882346
-34.583406,195,2406.801181
-173.907914,215,2411.270353
-77.844965,250,2416.61418
-144.560667,240,2421.769884
-93.704436,287,2428.24321
-93.629284,284,2434.264386
-38.23672,233,2439.120043
-127.029647,216,2443.584312
-177.170049,285,2449.83585
-105.482217,266,2455.704154
-129.471933,309,2462.471528
1.143028,184,2466.427044
-146.453945,253,2471.758361
-77.404766,220,2476.619207
-155.738894,189,2480.783059
-53.219349,226,2485.716851
-7.558023,181,2489.835012
-58.319047,261,2495.525425
-71.339712,256,2501.041773
-25.746083,217,2506.044146
65.239608,127,2508.810798
-12.523721,202,2513.477885
-124.647253,265,2519.679991
-61.208461,254,2525.437976
-57.515995,235,2530.70224
-47.528949,241,2536.266511
0.846942,195,2540.482065
72.653942,115,2542.900491
-16.623688,216,2547.949467
-115.381977,320,2560.320589
-7.467827,222,2566.468142
85.894971,107,2569.061262
-170.59841,192,2572.805239
-165.141506,244,2578.675439
-62.181459,228,2584.133571
-187.129511,209,2589.34566
74.547902,107,2591.835232
73.543783,113,2594.605197
-43.100154,216,2599.792771
-174.643401,247,2605.960417
-54.174907,237,2611.691411
-118.658144,181,2616.326283
-43.189549,211,2621.601568
-12.754226,219,2626.958148
-42.959925,212,2633.227906
-203.223446,223,2639.418947
-57.314495,225,2645.22521
-199.954627,242,2651.192891
-147.666761,180,2655.347744
-47.280624,225,2660.390227
-36.779817,220,2665.42927
65.533638,128,2668.570473
-35.16484,219,2673.551406
-79.031863,256,2679.268058
76.744403,109,2681.641577
90.404857,106,2683.831063
29.865723,165,2687.575249
91.48906,107,2689.985131
54.775061,147,2693.465127
-143.608955,203,2698.941837
2.655189,228,2704.072479
-49.693209,257,2709.702053
-32.401272,223,2714.608368
63.398716,125,2717.425726
67.044909,122,2720.196738
-135.714619,252,2725.855574
-108.17061,224,2731.054232
74.927914,113,2733.565192
-71.479529,246,2738.854868
64.646048,119,2741.411251
-129.08945,205,2745.968593
-56.837151,197,2750.899019
-93.503149,272,2757.472703
-47.17098,253,2764.142483
-144.757698,195,2768.519448
71.778295,116,2771.035985
-1.07809,182,2775.261786
-169.820175,279,2781.488526
-185.764501,307,2788.979807
-118.428022,250,2799.048636
-58.486177,292,2806.293504
-186.062968,279,2813.137253
72.934464,115,2815.352591
-11.463267,177,2819.078983
-158.893967,279,2825.597762
-34.009534,195,2831.928645
-157.984086,200,2837.394505
80.439648,112,2840.48492
69.672248,118,2843.499323
58.597848,140,2847.495189
67.49472,133,2851.283345
-185.925882,255,2857.904234
-0.029937,208,2862.955015
-236.397015,320,2870.462955
-80.277846,192,2876.464167
-121.106504,212,2881.312571
-31.673112,209,2885.876016
-2.096739,210,2890.41007
-152.232349,229,2895.363723
-94.233774,231,2900.170304
-158.653482,214,2904.836935
-37.96083,228,2909.914102
-211.641031,265,2915.645822
-51.573712,224,2920.485415
68.639289,123,2923.287569
-186.112108,240,2928.474186
71.546995,123,2931.009339
-204.704326,289,2937.694492
94.046587,105,2939.897147
-61.292789,215,2944.828581
-48.750058,218,2949.626742
58.257086,135,2952.469456
-102.240202,238,2957.475243
68.000493,117,2959.942929
-22.532334,209,2964.535661
-10.679061,220,2969.498935
-53.733674,217,2974.054367
-45.628026,233,2982.060741
64.2332,128,2988.594134
-36.512934,219,2994.582232
74.872994,109,2997.483921
-178.547591,262,3003.54013
91.162696,105,3006.053682
-112.00981,241,3011.430215
-200.413121,246,3016.719913
78.159282,111,3019.359341
2.770276,189,3023.62908
5.759459,187,3028.034925
-5.913532,224,3033.094672
-31.327846,222,3043.046859
-77.517923,266,3049.616994
-34.605018,238,3055.623087
-91.631796,163,3059.738763
63.965017,120,3061.952575
-36.230237,259,3067.556951
59.821264,134,3070.983975
-16.254905,231,3076.916223
-26.138302,209,3082.084759
-34.170366,252,3088.760742
-193.17802,314,3096.440459
-62.83282,254,3102.866159
-13.102072,206,3108.052238
-154.611004,225,3113.801368
-48.13071,265,3120.690998
-29.197539,219,3126.080809
-60.712474,242,3131.520865
-103.497504,235,3136.910941
-77.753972,247,3142.351439
68.758297,119,3145.113769
-77.531868,229,3150.601516
-80.654758,228,3155.73479
70.577817,116,3158.269392
90.138619,104,3160.547483
-170.067139,262,3166.300567
-203.300781,266,3172.130011
-120.242593,214,3177.52741
80.900843,109,3179.874571
-143.799019,260,3185.504986
-54.851999,263,3191.260574
-120.464343,305,3197.747322
-87.949469,291,3204.173041
-48.636948,236,3209.754278
-183.442082,242,3215.316673
-169.708136,232,3220.806091
-71.65976,247,3226.437707
-135.791388,306,3233.216467
-15.16583,172,3237.429023
54.419748,138,3240.625505
72.568209,115,3243.296636
-137.308131,204,3247.773312
57.536004,149,3250.893998
-189.938671,269,3256.896486
-160.387238,260,3262.412736
-154.412295,268,3269.270106
-85.52527,277,3281.230154
75.114076,108,3283.943044
-89.201594,192,3288.775361
4.107392,162,3292.724479
-83.841636,213,3298.303232
-47.422982,239,3303.030635
-154.879421,233,3308.618047
-107.877985,173,3312.86121
